tmp/ramdisk.py - bohrium: False, size: 28, elapsed-time: 6.511829
         7139308 function calls (6692348 primitive calls) in 6.741 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6397    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       28    0.000    0.000    0.001    0.000 pyparsing.py:1291(extract_stack)
     55/6    0.000    0.000    0.001    0.000 pyparsing.py:4243(streamline)
       59    0.000    0.000    0.001    0.000 pyparsing.py:3901(<listcomp>)
      501    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedWriter' objects}
      276    0.001    0.000    0.001    0.000 version.py:305(__str__)
      500    0.001    0.000    0.001    0.000 pickle.py:407(__init__)
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
       28    0.000    0.000    0.001    0.000 traceback.py:200(extract_stack)
      184    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
     3500    0.001    0.000    0.001    0.000 pickle.py:335(whichmodule)
        1    0.000    0.000    0.001    0.001 quoprimime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 _pslinux.py:1530(Process)
       28    0.000    0.000    0.001    0.000 traceback.py:321(extract)
        2    0.000    0.000    0.001    0.001 pyparsing.py:5679(srange)
       83    0.000    0.000    0.001    0.000 __init__.py:1617(_get)
       99    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 linecache.py:1(<module>)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
      605    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
     1091    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
     1452    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
    187/4    0.000    0.000    0.001    0.000 pyparsing.py:1647(_parseNoCache)
     32/4    0.000    0.000    0.001    0.000 pyparsing.py:4049(parseImpl)
        1    0.000    0.000    0.001    0.001 process.py:10(<module>)
       53    0.000    0.000    0.001    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.001    0.001 markers.py:4(<module>)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
